name (double check that excel did not mess up formats),"sunday_open (hh:mm, for all times)","sunday_close (hh:mm, for all times)","monday_open (hh:mm, for all times)","monday_close (hh:mm, for all times)","tuesday_open (hh:mm, for all times)","tuesday_close (hh:mm, for all times)","wednesday_open (hh:mm, for all times)","wednesday_close (hh:mm, for all times)","thursday_open (hh:mm, for all times)","thursday_close (hh:mm, for all times)","friday_open (hh:mm, for all times)","friday_close (hh:mm, for all times)","saturday_open (hh:mm, for all times)","saturday_close (hh:mm, for all times)","phone (9 digit string, unless just 0",rating (1 decimal double),price (int),category,address (no # symbol included),website (if none enter No website)
Merchant,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,6082599799,4.0,2,Cocktail Bars;Wine Bars;American (New),"121 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/merchant-madison-2
Mr.Kimchi Modern Korean,11:00,22:00,00:00,00:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,6086653020,4.5,2,Korean,"225 King St, Madison, WI 53703",https://www.yelp.com/biz/mr-kimchi-modern-korean-madison
The Great Dane Pub & Brewing Company,11:00,19:30,11:00,19:30,11:00,19:30,11:00,19:30,11:00,19:30,11:00,19:30,11:00,19:30,6082840000,4.0,2,American (New);Brewpubs,"123 E Doty St, Madison, WI 53703",https://www.yelp.com/biz/the-great-dane-pub-and-brewing-company-madison
Estrellón,00:00,00:00,00:00,00:00,16:00,20:00,16:00,20:00,16:00,20:00,16:00,20:00,16:00,20:00,6082512111,4.0,3,Spanish;Tapas Bars;Basque,"313 W Johnson St, Madison, WI 53703",https://www.yelp.com/biz/estrell%C3%B3n-madison
The Tipsy Cow,00:00,00:00,11:00,23:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:30,11:00,02:30,6082871455,4.0,2,Bars;American (Traditional),"102 King St, Madison, WI 53703",https://www.yelp.com/biz/the-tipsy-cow-madison
Camp Trippalindee,11:00,21:00,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,15:00,02:00,11:00,02:00,6082574391,4.0,2,American (New);Bars,"601 Langdon St, Madison, WI 53703",https://www.yelp.com/biz/camp-trippalindee-madison
Strings Ramen-Madison,11:00,22:00,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,11:00,23:00,11:00,23:00,6086653837,4.0,2,Ramen,"311 N Frances St, Madison, WI 53703",https://www.yelp.com/biz/strings-ramen-madison-madison-2
Sweet Home Wisconsin,00:00,00:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,12:00,20:00,6088196622,4.5,2,Hot Dogs;Burgers;Sandwiches,"910 Regent St, Madison, WI 53715",https://www.yelp.com/biz/sweet-home-wisconsin-madison
Tornado Steak House,17:00,01:00,17:00,01:00,17:00,01:00,17:00,01:00,17:00,01:00,17:00,01:00,17:00,01:00,6082563570,4.0,3,Steakhouses;Bars;Seafood,"116 S Hamilton St, Madison, WI 53703",https://www.yelp.com/biz/tornado-steak-house-madison
La Kitchenette,09:00,14:00,00:00,00:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,09:00,21:00,6082834266,4.5,2,French,"805 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/la-kitchenette-madison
Boar & Barrel,09:00,15:00,15:00,02:00,15:00,02:00,15:00,02:00,15:00,02:00,15:00,02:30,15:00,02:30,6082855651,4.0,2,Wine Bars;Whiskey Bars;Tapas Bars,"101 N Hamilton St, Madison, WI 53703",https://www.yelp.com/biz/boar-and-barrel-madison
The Cooper's Tavern,09:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,09:00,02:00,6082561600,4.0,2,American (New);Pubs,"20 W Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/the-coopers-tavern-madison
Taste of Sichuan,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:30,11:00,22:30,6088196780,4.0,2,Chinese,"515 State St, Madison, WI 53703",https://www.yelp.com/biz/taste-of-sichuan-madison
Osteria Papavero,00:00,00:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,17:00,22:00,6082558376,4.0,2,Italian,"128 E Wilson St, Madison, WI 53703",https://www.yelp.com/biz/osteria-papavero-madison
Cento,09:30,21:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,00:00,09:30,00:00,6082849378,4.0,2,Italian;Breakfast & Brunch;Venues & Event Spaces,"122 W Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/cento-madison
Lucille,10:00,02:00,15:00,02:00,15:00,02:00,15:00,02:00,11:00,02:00,11:00,02:00,10:00,02:00,6082830000,4.0,2,Pizza;American (New);Lounges,"101 King St, Madison, WI 53703",https://www.yelp.com/biz/lucille-madison
Naples 15,00:00,00:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,23:00,17:00,23:00,6082506330,4.0,3,Italian,"15 N Butler St, Madison, WI 53703",https://www.yelp.com/biz/naples-15-madison-5
Canteen,10:30,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,01:00,10:30,01:00,6082855703,4.0,2,Tacos;Cocktail Bars,"111 S Hamilton St, Madison, WI 53703",https://www.yelp.com/biz/canteen-madison
Morris Ramen,00:00,00:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,17:00,23:00,6084165547,4.0,2,Ramen,"106 King St, Madison, WI 53703",https://www.yelp.com/biz/morris-ramen-madison
Five Star Korean BBQ,11:00,22:00,00:00,00:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,6086309840,3.5,2,Barbeque;Korean,"605 E Washington Ave, Madison, WI 53703",https://www.yelp.com/biz/five-star-korean-bbq-madison
