name,sunday_open,sunday_close,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,phone,rating,price,category,address,website,id
b'Merchant',11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,(608) 259-9799,4.0,2,Cocktail Bars;Wine Bars;American (New),"121 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/merchant-madison-2,11
b'La Kitchenette',09:00:00,14:00:00,00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,09:00:00,21:00:00,(608) 283-4266,4.5,2,French,"805 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/la-kitchenette-madison,12
"b""Paul's Pel'meni""",11:00:00,21:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,03:00:00,11:00:00,03:00:00,11:00:00,03:00:00,(608) 467-3234,4.5,1,Russian;Asian Fusion,"414 W Gilman St, Madison, WI 53703",https://www.yelp.com/biz/pauls-pelmeni-madison,13
b'Tornado Steak House',17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,(608) 256-3570,4.0,3,Steakhouses;Bars;Seafood,"116 S Hamilton St, Madison, WI 53703",https://www.yelp.com/biz/tornado-steak-house-madison,14
b'Sweet Home Wisconsin',00:00:00,00:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,12:00:00,20:00:00,(608) 819-6622,4.5,2,Hot Dogs;Burgers;Sandwiches,"910 Regent St, Madison, WI 53715",https://www.yelp.com/biz/sweet-home-wisconsin-madison,15
b'Ruyi Hand Pulled Noodle',11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 298-7669,4.5,0,Chinese;Noodles,"334 State St, Madison, WI 53703",https://www.yelp.com/biz/ruyi-hand-pulled-noodle-madison,16
"b""Dotty Dumpling's Dowry""",11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,(608) 259-0000,4.0,2,Burgers;Vegan;Vegetarian,"317 N Frances St, Madison, WI 53703",https://www.yelp.com/biz/dotty-dumplings-dowry-madison,17
b'The Tipsy Cow',00:00:00,00:00:00,11:00:00,23:00:00,11:00:00,02:00:00,11:00:00,02:00:00,11:00:00,02:00:00,11:00:00,02:30:00,11:00:00,02:30:00,(608) 287-1455,4.0,2,Bars;American (Traditional),"102 King St, Madison, WI 53703",https://www.yelp.com/biz/the-tipsy-cow-madison,18
b'Estrell\xc3\xb3n',00:00:00,00:00:00,00:00:00,00:00:00,16:00:00,20:00:00,16:00:00,20:00:00,16:00:00,20:00:00,16:00:00,20:00:00,16:00:00,20:00:00,(608) 251-2111,4.0,3,Spanish;Tapas Bars;Basque,"313 W Johnson St, Madison, WI 53703",https://www.yelp.com/biz/estrell%C3%B3n-madison,19
b'Lorraine\xe2\x80\x99s Cafe',00:00:00,00:00:00,00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 298-7144,4.5,0,Caribbean;Chicken Wings;Sandwiches,"1517 Monroe St, Madison, WI 53711",https://www.yelp.com/biz/lorraine-s-cafe-madison,20
b'Osteria Papavero',00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,17:00:00,22:00:00,(608) 255-8376,4.0,2,Italian,"128 E Wilson St, Madison, WI 53703",https://www.yelp.com/biz/osteria-papavero-madison,21
b'Cento',09:30:00,21:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,00:00:00,09:30:00,00:00:00,(608) 284-9378,4.0,2,Italian;Breakfast & Brunch;Venues & Event Spaces,"122 W Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/cento-madison,22
b'The Great Dane Pub & Brewing Company',11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,11:00:00,19:30:00,(608) 284-0000,4.0,2,American (New);Brewpubs,"123 E Doty St, Madison, WI 53703",https://www.yelp.com/biz/the-great-dane-pub-and-brewing-company-madison,23
b'Lombardinos Italian Restaurant and Bar',17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,05:00:00,09:00:00,17:00:00,22:00:00,17:00:00,22:00:00,(608) 238-1922,4.0,2,Italian;Bars,"2500 University Ave, Madison, WI 53705",https://www.yelp.com/biz/lombardinos-italian-restaurant-and-bar-madison,24
b'Naples 15',00:00:00,00:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,23:00:00,17:00:00,23:00:00,(608) 250-6330,4.0,3,Italian,"15 N Butler St, Madison, WI 53703",https://www.yelp.com/biz/naples-15-madison-5,25
b'Camp Trippalindee',11:00:00,21:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,15:00:00,02:00:00,11:00:00,02:00:00,(608) 257-4391,4.0,2,American (New);Bars,"601 Langdon St, Madison, WI 53703",https://www.yelp.com/biz/camp-trippalindee-madison,26
b'La Taguara',09:00:00,18:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,21:00:00,09:00:00,21:00:00,(608) 721-9100,4.5,2,Venezuelan;Caribbean;Colombian,"3502 E Washington Ave, Madison, WI 53704",https://www.yelp.com/biz/la-taguara-madison,27
b'Boar & Barrel',09:00:00,15:00:00,15:00:00,02:00:00,15:00:00,02:00:00,15:00:00,02:00:00,15:00:00,02:00:00,15:00:00,02:30:00,15:00:00,02:30:00,(608) 285-5651,4.0,2,Wine Bars;Whiskey Bars;Tapas Bars,"101 N Hamilton St, Madison, WI 53703",https://www.yelp.com/biz/boar-and-barrel-madison,28
b'Alchemy',11:30:00,00:00:00,11:30:00,00:00:00,11:30:00,00:00:00,11:30:00,00:00:00,11:30:00,00:00:00,11:30:00,01:00:00,11:30:00,01:00:00,(608) 204-7644,4.0,2,American (New);Burgers,"1980 Atwood Ave, Madison, WI 53704",https://www.yelp.com/biz/alchemy-madison,29
b'Tempest Oyster Bar',16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,00:00:00,16:00:00,00:00:00,(608) 258-1443,4.0,3,Bars;Seafood;Steakhouses,"120 E Wilson St, Madison, WI 53703",https://www.yelp.com/biz/tempest-oyster-bar-madison,30
"b""L'Etoile""",00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,17:30:00,20:00:00,17:30:00,20:00:00,17:30:00,20:00:00,17:00:00,20:00:00,(608) 251-0500,4.5,4,American (New);Bars,"1 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/l-etoile-madison,31
b'Double 10 Mini Hot Pot',11:00:00,22:00:00,00:00:00,00:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 467-3330,4.5,2,Hot Pot;Chinese,"1272 S Park St, Madison, WI 53715",https://www.yelp.com/biz/double-10-mini-hot-pot-madison,32
b'Ha Long Bay',11:30:00,21:00:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,(608) 255-2868,4.0,2,Vietnamese;Thai,"1353 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/ha-long-bay-madison-2,33
b'The Weary Traveler Freehouse',11:30:00,01:00:00,11:30:00,01:00:00,11:30:00,01:00:00,11:30:00,01:00:00,11:30:00,01:00:00,11:30:00,01:00:00,11:30:00,01:00:00,(608) 442-6207,4.0,2,American (New);Burgers,"1201 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/the-weary-traveler-freehouse-madison,34
b'RED',16:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,11:30:00,22:00:00,16:30:00,22:00:00,(608) 294-1234,4.5,3,Sushi Bars;Desserts;Cocktail Bars,"316 W Washington Ave, Ste 100, Madison, WI 53703",https://www.yelp.com/biz/red-madison-3,35
b'Lao Laan-Xang Restaurant',00:00:00,00:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:30:00,17:00:00,21:30:00,(608) 280-0104,4.5,2,Laotian,"1146 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/lao-laan-xang-restaurant-madison,36
b'Caspian Grill',00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 709-5002,4.5,0,Mediterranean,"707 S Gammon Rd, Madison, WI 53719",https://www.yelp.com/biz/caspian-grill-madison,37
b'Sardine',09:00:00,21:00:00,16:00:00,21:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,23:00:00,09:00:00,23:00:00,(608) 441-1600,4.0,2,French;Breakfast & Brunch;Bars,"617 Williamson St, Madison, WI 53703",https://www.yelp.com/biz/sardine-madison,38
"b""The Cooper's Tavern""",09:00:00,02:00:00,11:00:00,02:00:00,11:00:00,02:00:00,11:00:00,02:00:00,11:00:00,02:00:00,11:00:00,02:00:00,09:00:00,02:00:00,(608) 256-1600,4.0,2,American (New);Pubs,"20 W Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/the-coopers-tavern-madison,39
b'Beef Butter BBQ',10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,(608) 640-5000,4.5,2,Barbeque;Caterers,"3001 N Sherman Ave, Madison, WI 53704",https://www.yelp.com/biz/beef-butter-bbq-madison-2,40
b'Eno Vino Downtown',16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,01:00:00,16:00:00,01:00:00,(608) 455-0663,4.0,3,Wine Bars;Seafood;Cocktail Bars,"1 N Webster St, Fl 10, Madison, WI 53703",https://www.yelp.com/biz/eno-vino-downtown-madison,41
b'Fresco',16:00:00,20:00:00,00:00:00,00:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,22:00:00,17:00:00,22:00:00,(608) 663-7374,4.0,3,American (New),"227 State St, Madison, WI 53703",https://www.yelp.com/biz/fresco-madison,42
b'Lucille',11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,(608) 283-0000,4.0,2,Pizza;American (New);Lounges,"101 King St, Madison, WI 53703",https://www.yelp.com/biz/lucille-madison,43
b'Rare Steakhouse',17:00:00,21:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,11:00:00,23:00:00,17:00:00,22:00:00,(608) 204-9000,4.0,4,Steakhouses;Seafood;American (Traditional),"14 W Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/rare-steakhouse-madison,44
b'Cadre Restaurant',09:00:00,14:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,09:00:00,22:00:00,(608) 819-8555,4.0,2,French;Wine Bars;Cocktail Bars,"2540 University Ave, Madison, WI 53705",https://www.yelp.com/biz/cadre-restaurant-madison,45
b'The Globe',00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 640-4435,4.5,0,Asian Fusion;Soup;Tapas Bars,"309 N Henry St, Madison, WI 53703",https://www.yelp.com/biz/the-globe-madison,46
b'Strings Ramen-Madison',11:00:00,22:00:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,23:00:00,11:00:00,23:00:00,(608) 665-3837,4.0,2,Ramen,"311 N Frances St, Madison, WI 53703",https://www.yelp.com/biz/strings-ramen-madison-madison-2,47
b'Little Tibet',00:00:00,00:00:00,11:30:00,20:30:00,11:30:00,20:30:00,11:30:00,20:30:00,11:30:00,20:30:00,11:30:00,21:00:00,11:30:00,21:00:00,(608) 630-8232,4.5,2,Himalayan/Nepalese,"827 E Johnson St, Madison, WI 53703",https://www.yelp.com/biz/little-tibet-madison,48
b'Taste of Sichuan',11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:30:00,11:00:00,22:30:00,(608) 819-6780,4.0,2,Chinese,"515 State St, Madison, WI 53703",https://www.yelp.com/biz/taste-of-sichuan-madison,49
b'Bar Corallini',11:00:00,21:00:00,00:00:00,00:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,22:00:00,16:00:00,23:00:00,11:00:00,23:00:00,(608) 709-1316,4.0,2,Bars;Pizza;Italian,"2004 Atwood Ave, Madison, WI 53704",https://www.yelp.com/biz/bar-corallini-madison-2,50
b'Estacion Inka',12:00:00,19:00:00,12:00:00,20:00:00,12:00:00,20:00:00,12:00:00,20:00:00,12:00:00,20:00:00,12:00:00,20:00:00,12:00:00,20:00:00,(608) 467-3010,4.5,1,Peruvian,"616 University Ave, Madison, WI 53715",https://www.yelp.com/biz/estacion-inka-madison-2,51
b'Everly',09:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,09:00:00,22:00:00,(608) 416-5242,4.0,2,American (New);Breakfast & Brunch;Bars,"2701 Monroe St, Ste 270, Madison, WI 53711",https://www.yelp.com/biz/everly-madison,52
b'DumplingHaus',11:00:00,18:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 661-4287,4.0,2,Chinese,"540 N Midvale Blvd, Madison, WI 53705",https://www.yelp.com/biz/dumplinghaus-madison,53
b'Bartaco Hilldale',11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,00:00:00,11:00:00,00:00:00,(608) 620-8226,4.0,2,Tacos,"464 N Midvale Blvd, Madison, WI 53705",https://www.yelp.com/biz/bartaco-hilldale-madison-2,54
b'Marigold Kitchen',08:00:00,14:00:00,07:00:00,15:00:00,07:00:00,15:00:00,07:00:00,15:00:00,07:00:00,15:00:00,07:00:00,15:00:00,07:00:00,14:00:00,(608) 661-5559,4.0,2,Breakfast & Brunch,"118 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/marigold-kitchen-madison,55
b'Bandung Indonesian Restaurant',00:00:00,00:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,21:00:00,17:00:00,21:00:00,(608) 255-6910,4.0,2,Indonesian,"600 Williamson St, Ste M, Madison, WI 53703",https://www.yelp.com/biz/bandung-indonesian-restaurant-madison,56
b'Canteen',10:30:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,01:00:00,10:30:00,01:00:00,(608) 285-5703,4.0,2,Tacos;Cocktail Bars,"111 S Hamilton St, Madison, WI 53703",https://www.yelp.com/biz/canteen-madison,57
b'The Audrey Kitchen + Bar',06:30:00,23:00:00,06:30:00,00:00:00,06:30:00,00:00:00,06:30:00,00:00:00,06:30:00,00:00:00,06:30:00,02:00:00,06:30:00,02:00:00,(608) 255-0165,4.0,2,American (New),"9 E Wilson St, Madison, WI 53703",https://www.yelp.com/biz/the-audrey-kitchen-bar-madison,58
b'Asian Noodle',11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,(608) 467-6210,4.5,0,Noodles,"902 Regent St, Madison, WI 53715",https://www.yelp.com/biz/asian-noodle-madison,59
b'Banzo',11:00:00,19:00:00,00:00:00,00:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,(608) 441-2002,4.5,2,Mediterranean;Food Trucks,"2105 Sherman Ave, Madison, WI 53704",https://www.yelp.com/biz/banzo-madison,60
"b""Nonno's Ristorante Italiano""",11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,23:00:00,(608) 661-9254,4.0,2,Italian,"704 S Whitney Way, Madison, WI 53711",https://www.yelp.com/biz/nonnos-ristorante-italiano-madison,61
b'Brasserie V',16:00:00,22:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,00:00:00,11:00:00,00:00:00,(608) 255-8500,4.0,2,Belgian;Brasseries;Sandwiches,"1923 Monroe St, Madison, WI 53711",https://www.yelp.com/biz/brasserie-v-madison,62
"b""Salvatore's Tomato Pies""",11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,(608) 238-6040,4.5,2,Pizza;American (New);Italian,"912 E Johnson St, Madison, WI 53703",https://www.yelp.com/biz/salvatores-tomato-pies-madison-2,63
b'Red Lion Singapore Grill and Japanese Cuisine',11:00:00,21:00:00,10:30:00,21:00:00,00:00:00,00:00:00,10:30:00,21:00:00,10:30:00,21:00:00,10:30:00,22:00:00,11:00:00,22:00:00,(608) 467-3018,4.5,2,Singaporean;Japanese,"515 Cottage Grove Rd, Madison, WI 53716",https://www.yelp.com/biz/red-lion-singapore-grill-and-japanese-cuisine-madison,64
b'Mediterranean Cafe',00:00:00,00:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,(608) 251-8510,4.5,1,Greek;Mediterranean,"625 State St, Madison, WI 53703",https://www.yelp.com/biz/mediterranean-cafe-madison,65
b'Luang Prabang',00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,No phone number available,4.5,1,Thai;Food Stands,"728 State St, Madison, WI 53706",https://www.yelp.com/biz/luang-prabang-madison,66
b'Novanta',11:00:00,20:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 498-4995,5.0,0,Pizza;Italian,"2903 University Ave, Madison, WI 53705",https://www.yelp.com/biz/novanta-madison-2,67
b'HopCat',10:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,02:00:00,11:00:00,02:00:00,(608) 807-1361,4.0,2,Beer Bar;Burgers,"222 W Gorham St, Madison, WI 53703",https://www.yelp.com/biz/hopcat-madison,68
b'The Heights',00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,15:00:00,18:30:00,15:00:00,18:30:00,15:00:00,18:30:00,15:00:00,18:30:00,(608) 405-5500,4.5,2,American (New);Breakfast & Brunch,"11 N Allen St, Madison, WI 53726",https://www.yelp.com/biz/the-heights-madison,69
b'Saigon Noodles',11:30:00,21:00:00,00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 827-9120,4.0,1,Vietnamese;Noodles,"6754 Odana Rd, Madison, WI 53719",https://www.yelp.com/biz/saigon-noodles-madison,70
b'Rockhound Brewing Company',11:00:00,21:45:00,00:00:00,00:00:00,11:00:00,21:45:00,11:00:00,21:45:00,11:00:00,21:45:00,11:00:00,23:30:00,11:00:00,23:30:00,(608) 285-9023,3.5,2,Breweries;Comfort Food,"444 S Park St, Madison, WI 53715",https://www.yelp.com/biz/rockhound-brewing-company-madison,71
"b""Sol's On the Square""",00:00:00,00:00:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 251-0116,3.5,2,Korean,"117 E Mifflin St, Madison, WI 53703",https://www.yelp.com/biz/sols-on-the-square-madison,72
"b""Smoky Jon's No 1 BBQ""",11:00:00,21:00:00,00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 249-7427,4.0,2,Barbeque,"2310 Packers Ave, Madison, WI 53704",https://www.yelp.com/biz/smoky-jons-no-1-bbq-madison,73
"b""Grampa's Pizzeria""",17:00:00,21:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,23:00:00,17:00:00,23:00:00,(608) 283-9580,4.5,2,Pizza;Bars,"1374 Willamson St, Madison, WI 53703",https://www.yelp.com/biz/grampas-pizzeria-madison,74
b'Mint Mark',09:30:00,14:30:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,01:00:00,11:00:00,01:00:00,09:30:00,01:00:00,(608) 285-5096,4.5,2,Bars;Breakfast & Brunch;American (Traditional),"1929 Winnebago St, Madison, WI 53704",https://www.yelp.com/biz/mint-mark-madison,75
b'Miko Poke',11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00,(608) 416-5241,4.0,2,Poke;Hawaiian,"2701 Monroe St, Ste 250, Madison, WI 53711",https://www.yelp.com/biz/miko-poke-madison,76
b'Hot-N-Spicy',11:00:00,18:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,(608) 405-3095,4.5,0,Laotian;Thai;Asian Fusion,"4602 Monona Dr, Madison, WI 53716",https://www.yelp.com/biz/hot-n-spicy-madison-2,77
"b""Johnny Delmonico's Steakhouse""",16:30:00,21:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,16:30:00,22:00:00,(608) 257-8325,4.0,3,Steakhouses;Seafood,"130 S Pinckney St, Madison, WI 53703",https://www.yelp.com/biz/johnny-delmonicos-steakhouse-madison,78
b'The Green Owl Cafe',10:00:00,15:00:00,00:00:00,00:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 285-5290,4.0,2,Vegetarian;Vegan;Cafes,"1970 Atwood Ave, Madison, WI 53704",https://www.yelp.com/biz/the-green-owl-cafe-madison-2,79
b'Muramoto Hilldale',11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,21:00:00,11:00:00,21:00:00,(608) 441-1090,4.0,2,Sushi Bars;Soup;Seafood,"546 N Midvale Blvd, Madison, WI 53705",https://www.yelp.com/biz/muramoto-hilldale-madison,80
